Filename	Class
2011-03-24_C1-2-1_NaCl_Run000007.cdf	Hyp
2011-03-24_C11-3-6_NaCl_Run000033.cdf	DP
2011-03-24_C12-1-14_NaCl_Run000027.cdf	VUP
2011-03-24_C12-1-4_NaCl_Run000025.cdf	PNA
2011-03-24_C12-1-5_NaCl_Run000026.cdf	PNA
2011-03-24_C12-2-7_NaCl_Run000038.cdf	JPU
2011-03-24_C1-2-7_NaCl_Run000014.cdf	RHE
2011-03-24_C3-2-5_NaCl_Run000009.cdf	RHE
2011-03-24_C3-3-3_NaCl_Run000010.cdf	UHN
2011-03-24_C6-4-10_NaCl_Run000011.cdf	UHN
2011-03-24_C8-2-11_NaCl_Run000029.cdf	JPU
2011-03-24_C8-2-13_NaCl_Run000031.cdf	DPC
2011-03-24_C8-3-3_NaCl_Run000032.cdf	JPU
2011-03-24_CtrlU_CEMS_25-11-10_NaCl_Run000018.cdf	Ctrl
2011-03-24_CtrlU_CEMS_25-11-10_NaCl_Run000024.cdf	Ctrl
2011-03-24_CtrlU_CEMS_25-11-10_NaCl_Run000030.cdf	Ctrl
2011-03-24_CtrlU_CEMS_25-11-10_NaCl_Run000036.cdf	Ctrl
2011-03-24_CtrlU_CEMS_25-11-10_NaCl_Run000039.cdf	Ctrl
2011-03-28_C15-3-10_NaCl_Run000045.cdf	Mater
2011-03-28_C15-3-15_NaCl_Run000046.cdf	MU
2011-03-28_C17-1-12_NaCl_Run000009.cdf	RHE
2011-03-28_C17-2-11_NaCl_Run000025.cdf	JPU
2011-03-28_C18-1-16_NaCl_Run000012.cdf	RU
2011-03-28_C18-2-8_NaCl_Run000028.cdf	JPU
2011-03-28_C23-3-3_NaCl_Run000029.cdf	JPU
2011-03-28_C29-1-10_NaCl_Run000030.cdf	JPU
2011-03-28_C29-1-14_NaCl_Run000038.cdf	RMK
2011-03-28_C29-3-7_NaCl_Run000039.cdf	JPU
2011-03-28_C30-3-10_NaCl_Run000041.cdf	JPU
2011-03-28_C30-3-2_NaCl_Run000040.cdf	JPU
2011-03-28_C31-2-1_NaCl_Run000047.cdf	JPU
2011-03-28_C31-2-5_NaCl_Run000048.cdf	MU
2011-03-28_C32-1-13_NaCl_Run000054.cdf	JPU
2011-03-28_C37-1-12_NaCl_Run000056.cdf	Hyp
2011-03-28_C37-4-5_NaCl_Run000057.cdf	RU
2011-03-28_C38-1-14_NaCl_Run000058.cdf	DPC
2011-03-28_C38-2-3_NaCl_Run000059.cdf	DPC
2011-03-28_C38-2-4_NaCl_Run000060.cdf	UHN
2011-03-28_C38-2-8_NaCl_Run000062.cdf	MU
2011-03-28_C39-3-18_NaCl_Run000063.cdf	JPU
2011-03-28_C43-3-11_NaCl_Run000064.cdf	JPU
2011-03-28_C44-3-1_NaCl_Run000065.cdf	JPU
2011-03-28_C44-4-1_NaCl_Run000066.cdf	GN
2011-03-28_C46-2-5_NaCl_Run000069.cdf	JPU
2011-03-28_C46-4-11_NaCl_Run000092.cdf	Temoin
2011-03-28_C46-4-7_NaCl_Run000093.cdf	Temoin
2011-03-28_C47-1-1_NaCl_Run000091.cdf	Temoin
2011-03-28_C47-2-2_NaCl_Run000090.cdf	RMK
2011-03-28_C47-3-3_NaCl_Run000089.cdf	JPU
2011-03-28_C47-4-12_NaCl_Run000087.cdf	JPU
2011-03-28_C47-4-13_NaCl_Run000086.cdf	JPU
2011-03-28_C48-1-5_NaCl_Run000085.cdf	JPU
2011-03-28_C49-3-3_NaCl_Run000084.cdf	JPU
2011-03-28_C49-3-5_NaCl_Run000083.cdf	JPU
2011-03-28_CtrlU_CEMS_25-11-10_NaCl_Run000026.cdf	Ctrl
2011-03-28_CtrlU_CEMS_25-11-10_NaCl_Run000032.cdf	Ctrl
2011-03-28_CtrlU_CEMS_25-11-10_NaCl_Run000037.cdf	Ctrl
2011-03-28_CtrlU_CEMS_25-11-10_Sol31-03_NaCl_Run000061.cdf	Ctrl
2011-03-28_CtrlU_CEMS_25-11-10_Sol31-03_NaCl_Run000067.cdf	Ctrl
2011-03-28_CtrlU_CEMS_25-11-10_Sol31-03_NaCl_Run000082.cdf	Ctrl
2011-04-04_C23-1-6_NaCl_Run000039.cdf	PNA
2011-04-04_C31-2-6_NaCl_Run000040.cdf	JPU
2011-04-04_C3-3-7_NaCl_Run000025.cdf	JPU
2011-04-04_C46-4-9_NaCl_Run000029.cdf	Temoin
2011-04-04_C47-1-12_NaCl_Run000010.cdf	Temoin
2011-04-04_C49-2-15_NaCl_Run000007.cdf	Temoin
2011-04-04_C49-3-6_NaCl_Run000019.cdf	JPU
2011-04-04_C52-2-12_NaCl_Run000032.cdf	VUP
2011-04-04_C52-2-4_NaCl_Run000008.cdf	Dym
2011-04-04_C52-3-3_NaCl_Run000012.cdf	VUP
2011-04-04_C53-4-7_NaCl_Run000013.cdf	VUP
2011-04-04_CtrlU_CEMS_25-11-10_NaCl_Run000011.cdf	Ctrl
2011-04-04_CtrlU_CEMS_25-11-10_NaCl_Run000024.cdf	Ctrl
2011-04-04_CtrlU_CEMS_25-11-10_NaCl_Run000030.cdf	Ctrl
2011-04-04_CtrlU_CEMS_25-11-10_NaCl_Run000036.cdf	Ctrl
